iter	F1	Logloss
0	0.7886795842	0.6621839121
1	0.7874054259	0.6363963579
2	0.7886672405	0.613681871
3	0.7897154243	0.594815508
4	0.7910731385	0.575481175
5	0.7899188496	0.5602057438
6	0.789661645	0.5455708335
7	0.7893463556	0.533035438
8	0.789552512	0.5210343621
9	0.7903986188	0.5109464552
10	0.7897549579	0.5024902197
11	0.7895943484	0.4946265996
12	0.7898226539	0.4874895456
13	0.7902741451	0.481386071
14	0.7905503959	0.4764132659
15	0.7911382769	0.4717978991
16	0.7910215395	0.4684348798
17	0.7914434137	0.4651832401
18	0.791301376	0.4607571343
19	0.7916649667	0.4576728859
20	0.7917583294	0.4550318207
21	0.7921843561	0.4523851587
22	0.7922078403	0.4496228556
23	0.7921725944	0.4478202645
24	0.7927966683	0.4461081541
25	0.7929521301	0.4441338086
26	0.7938302428	0.4422822507
27	0.7934671354	0.4404678688
28	0.7938430276	0.4390346723
29	0.7943723987	0.4377445119
30	0.7943833056	0.4362750548
31	0.7945368127	0.4349795424
32	0.7948601977	0.4335916764
33	0.7950186171	0.4326333594
34	0.7952671846	0.4316195505
35	0.7955025377	0.4306824533
36	0.7953087573	0.4301070341
37	0.7955878101	0.4292223279
38	0.7955492607	0.4282092735
39	0.7957956066	0.4273864126
40	0.7958844931	0.4265896678
41	0.7960006821	0.4260945398
42	0.7963520204	0.4253078638
43	0.7969044629	0.424203878
44	0.7972591786	0.4236973592
45	0.7971074089	0.4232432803
46	0.7973599609	0.4226613499
47	0.7976901721	0.4222724904
48	0.79785217	0.4218609493
49	0.7978908156	0.4212738133
50	0.7981965174	0.4209212274
51	0.7983679147	0.4206227787
52	0.7988250614	0.4198737281
53	0.7989449697	0.4193761281
54	0.7990961973	0.418999826
55	0.7992705725	0.4186555317
56	0.799239116	0.4183860349
57	0.7993085732	0.4179847886
58	0.7993916249	0.4177101626
59	0.7995514085	0.41738349
60	0.799727722	0.4171632725
61	0.7998535514	0.4168366422
62	0.7999940817	0.4165969939
63	0.8002382961	0.4162695181
64	0.8002219674	0.4159882508
65	0.8005239244	0.4155937506
66	0.8007753544	0.415339048
67	0.8008508907	0.4150168274
68	0.8009115898	0.4147008159
69	0.8010654237	0.4145516159
70	0.8012355269	0.4142655311
71	0.8013714844	0.4140071052
72	0.8013894232	0.4137267054
73	0.8016008344	0.413542489
74	0.8017636789	0.413346041
75	0.8017665139	0.4131386372
76	0.801871544	0.4129431664
77	0.8020842579	0.4126630947
78	0.802270752	0.4124372689
79	0.8024237226	0.4122642918
80	0.8026293899	0.4120590889
81	0.8028140377	0.4118946415
82	0.802917765	0.4116227288
83	0.8029772491	0.4113883027
84	0.8031469863	0.4112216538
85	0.80325796	0.4110532572
86	0.8034095111	0.4107587462
87	0.8034973566	0.4105613374
88	0.8036792352	0.4103072121
89	0.803889238	0.4101606781
