iter	Passed	Remaining
0	713	713081
1	1419	708467
2	2068	687486
3	2750	684888
4	3357	668149
5	3954	655194
6	4645	658983
7	5220	647383
8	5840	643142
9	6459	639456
10	7027	631852
11	7575	623728
12	8144	618333
13	8732	615037
14	9350	614016
15	9976	613532
16	10515	608015
17	11084	604719
18	11611	599513
19	12175	596599
20	12728	593409
21	13263	589604
22	13802	586289
23	14331	582815
24	15002	585107
25	15556	582777
26	16242	585318
27	16761	581859
28	17333	580357
29	17939	580043
30	18465	577201
31	19075	577048
32	19717	577787
33	20254	575480
34	20931	577106
35	21498	575682
36	22063	574254
37	22567	571326
38	23098	569173
39	23591	566205
40	24122	564229
41	24664	562581
42	25197	560782
43	25825	561119
44	26365	559540
45	26917	558235
46	27429	556184
47	27920	553758
48	28447	552118
49	28914	549376
50	29465	548282
51	29929	545633
52	30488	544768
53	31033	543653
54	31544	541984
55	32064	540511
56	32636	539925
57	33154	538481
58	33716	537753
59	34284	537127
60	34828	536132
61	35342	534695
62	35810	532612
63	36340	531485
64	36825	529717
65	37402	529300
66	37991	529052
67	38554	528430
68	39030	526629
69	39517	525013
70	40096	524647
71	40577	523004
72	41085	521725
73	41626	520890
74	42150	519859
75	42730	519511
76	43374	519932
77	43949	519500
78	44499	518784
79	45021	517744
80	45517	516425
81	46113	516242
82	46691	515854
83	47265	515414
84	47779	514335
85	48273	513046
86	48848	512628
87	49315	511087
88	49898	510760
89	50446	510070
90	51015	509595
91	51572	509002
92	52033	507464
93	52559	506585
94	53131	506149
95	53747	506126
96	54281	505319
97	54769	504101
98	55301	503301
99	55946	503517
100	56473	502667
101	57072	502461
102	57582	501474
103	58127	500793
104	58692	500287
105	59193	499234
106	59717	498388
107	60210	497295
108	60776	496803
109	61346	496346
110	61888	495668
111	62427	494960
112	63032	494780
113	63662	494778
114	64190	493990
115	64734	493322
116	65150	491691
117	65593	490282
118	66086	489262
119	66696	489105
120	67287	488809
121	67814	488042
122	68300	486990
123	68810	486109
124	69317	485221
125	69900	484861
126	70432	484154
127	71019	483817
128	71615	483544
129	72172	482999
130	72744	482558
131	73213	481432
132	73769	480890
133	74330	480372
134	74784	479171
135	75323	478526
136	75964	478523
137	76649	478779
138	77179	478068
139	77680	477179
140	78201	476419
141	78713	475607
142	79231	474833
143	79855	474695
144	80420	474201
145	80967	473605
146	81567	473312
147	82064	472423
148	82539	471417
149	83043	470581
150	83613	470117
151	84116	469280
152	84690	468843
153	85198	468039
154	85713	467276
155	86387	467376
156	86935	466795
157	87482	466206
158	87948	465186
159	88412	464165
160	88871	463123
161	89424	462580
162	89953	461909
163	90485	461257
164	91065	460845
165	91640	460412
166	92170	459746
167	92723	459200
168	93194	458250
169	93812	458024
170	94266	456999
171	94789	456312
172	95281	455480
173	95874	455128
174	96412	454517
175	97018	454223
176	97641	454005
177	98223	453593
178	98693	452668
179	99156	451713
180	99659	450944
181	100207	450382
182	100678	449479
183	101237	448966
184	101829	448599
185	102408	448175
186	102992	447771
187	103531	447168
188	104047	446468
189	104576	445825
190	105148	445367
191	105749	445029
192	106277	444381
193	106876	444035
194	107456	443603
195	108069	443306
196	108539	442420
197	109116	441977
198	109697	441545
199	110245	440980
200	110742	440213
201	111387	440035
202	111876	439240
203	112381	438508
204	112905	437854
205	113491	437438
206	113992	436697
207	114490	435944
208	114943	435025
209	115473	434400
210	116041	433917
211	116563	433266
212	117142	432821
213	117688	432257
214	118229	431676
215	118797	431189
216	119394	430810
217	119895	430083
218	120440	429515
219	120932	428760
220	121493	428249
221	122013	427598
222	122467	426712
223	123012	426149
224	123616	425791
225	124248	425523
226	124849	425149
227	125371	424503
228	126074	424467
229	126553	423679
230	127072	423023
231	127643	422542
232	128172	421925
233	128750	421466
234	129265	420801
235	129760	420071
236	130330	419587
237	130844	418923
238	131353	418243
239	131819	417429
240	132309	416693
241	132809	415989
